,address_name,lat,lon,subway_name
0,서울 중구 남대문로5가 84-6,37.5575584582203,126.973398757176,중구
0,서울 중구 남대문로3가 85,37.5611642284858,126.977649383556,중구
0,서울 중구 회현동3가 1-9,37.5605438018047,126.984369581481,중구
0,서울 중구 순화동 1-104,37.5643659237156,126.968909497031,중구
0,서울 중구 서애로 21,37.5604005588433,126.997429323341,중구
0,서울 중구 회현동1가 190,37.5592055001082,126.979868843746,중구
0,서울 중구 신당동 336-3,37.5592935543259,127.012841309292,중구
0,서울 중구 신당동 387-3,37.5609974210083,127.012068683528,중구
0,서울 중구 북창동 98,37.5622011645131,126.977538493439,중구
0,서울 중구 신당동 843,37.5581689025054,127.017895622274,중구
0,서울 중구 서소문동 21-1,37.5640585979842,126.975860739969,중구
0,서울 중구 남산동2가 27-1,37.5587294777895,126.985909638371,중구
0,서울 중구 신당동 348-152,37.554854981366,127.011880505639,중구
0,서울 중구 신당동 368-67,37.5535762586769,127.010240461683,중구
0,서울 중구 충무로5가 85-4,37.5612652566452,126.998006296276,중구
0,서울 중구 남대문로5가 21-1,37.5589629957983,126.97492243505,중구
0,서울 중구 회현동2가 87,37.5594031619007,126.983218672682,중구
0,서울 중구 장충동2가 193-239,37.5589287782669,127.002659924029,중구
0,서울 중구 을지로2가 195-3,37.5648885139649,126.984497141734,중구
0,서울 중구 명동2가 2-17,37.5637659354562,126.985709369412,중구
0,서울 중구 소공로 66,37.56107541502,126.982014268888,중구
0,서울 중구 충무로2가 62-10,37.5613838734979,126.987217526316,중구
0,서울 중구 남대문로 68,37.5631099932315,126.98226380533,중구
0,서울 중구 충무로4가 132-3,37.5616567439048,126.995074286686,중구
0,서울 중구 남대문로 7,37.560848129852,126.976570518502,중구
0,서울 중구 동호로17길 295,37.5483764768575,127.006943208627,중구
0,서울 중구 청계천로 318,37.5693565845148,127.013791492597,중구
0,서울 중구 신당동 347-332,37.5557475509863,127.012355637829,중구
0,서울 중구 무교동 21-3,37.567049943283,126.97939087827,중구
0,서울 중구 예장동 8-35,37.5594417917473,126.988248582886,중구
0,서울 중구 마장로 89,37.568486897057,127.019815581351,중구
0,서울 종로구 신문로1가 1-1,37.5704819528169,126.976183539859,종로구
0,서울 종로구 내자동 61-1,37.5762979846603,126.972156234425,종로구
0,서울 종로구 명륜1가 93,37.5860707943932,126.996973184385,종로구
1,서울 종로구 명륜2가 93,37.5851166695683,126.998316104808,종로구
2,서울 종로구 명륜4가 93,37.5820410397443,127.001608991725,종로구
0,서울 종로구 창신동 464-16,37.5712580694518,127.010983758338,종로구
0,서울 종로구 동숭동 28,37.5831675004586,127.003838565045,종로구
0,서울 종로구 연건동 78-2,37.57841336356,127.001918877466,종로구
0,서울 종로구 명륜4가 187,37.5825425372877,126.998768340952,종로구
0,서울 종로구 율곡로 271,37.5732025034686,127.007591999269,종로구
0,서울 종로구 삼청동 22,37.5871118806248,126.981811453903,종로구
1,서울 종로구 사간동 22,37.577996163699,126.981201671872,종로구
0,서울 종로구 신교동 36,37.5836946146195,126.969642346633,종로구
0,서울 종로구 관철동 14-10,37.5697001892209,126.985912326136,종로구
0,서울 종로구 필운동 41,37.577964175582,126.967503468035,종로구
0,서울 종로구 와룡동 25,37.5767791647096,126.990890682097,종로구
0,서울 종로구 원서동 45,37.5828367769828,126.989335957608,종로구
0,서울 종로구 평창동 97-9,37.611621950218,126.974757074601,종로구
0,서울 종로구 행촌동 210-113,37.5750413085004,126.961938433509,종로구
0,서울 종로구 홍지동 94-2,37.6001582147864,126.958532034362,종로구
0,서울 종로구 필운대로 39,37.5795343715367,126.968626958953,종로구
0,서울 종로구 계동 115-1,37.5794160579797,126.986620206907,종로구
0,서울 종로구 종로2가 44,37.5705951435083,126.989303517965,종로구
0,서울 종로구 종로6가 238-6,37.5726092482619,127.004956205994,종로구
0,서울 종로구 종로6가 247-1,37.5714331922754,127.006541006869,종로구
0,서울 종로구 창신동 154-1,37.572327122596,127.012565756715,종로구
0,서울 종로구 충신동 52-2,37.5758860707138,127.005083664779,종로구
0,서울 종로구 필운동 163,37.5771719092238,126.969444846296,종로구
0,서울 종로구 혜화동 111-7,37.5858391865198,127.000572097401,종로구
0,서울 종로구 평창동 343-1,37.6069523159199,126.965857889774,종로구
0,서울 종로구 동숭길 143,37.5832648449695,127.002438547712,종로구
0,서울 용산구 청파동3가 114-3,37.5441654310173,126.966805486096,용산구
0,서울 용산구 한강로2가 93-4,37.5318873900314,126.970823471631,용산구
0,서울 용산구 보광동 22-1,37.5271047569769,127.002499845248,용산구
0,서울 용산구 신창동 59-4,37.5352726841211,126.955654108115,용산구
0,서울 용산구 원효로4가 117-8,37.5327609383912,126.952126901193,용산구
0,서울 용산구 삼개로 60,37.5350715443607,126.947642942696,용산구
0,서울 용산구 한강로2가 2-11,37.5315404241507,126.969090683958,용산구
0,서울 용산구 이태원로54길 11,37.5378845228775,127.002095478927,용산구
0,서울 용산구 한남동 795-2,37.5424246498513,127.002685702384,용산구
0,서울 용산구 용산동2가 39-16,37.541923297983,126.987170835854,용산구
0,서울 용산구 원효로3가 56-4,37.5336453542006,126.95828524651,용산구
0,서울 용산구 원효로2가 61-7,37.5349652906078,126.963355440215,용산구
0,서울 용산구 이태원동 368-4,37.5368839834605,126.988731180861,용산구
0,서울 용산구 이태원동 20-5,37.5315159523619,126.996739159937,용산구
0,서울 용산구 한강로2가 2,37.5329605635435,126.968340097022,용산구
1,서울 용산구 한강로2가 2-8,37.5322146493411,126.969810417481,용산구
