,격자고유번호,NUMPOINTS,x,y,visited,index
48480,다사417423,0,417,423,False,23849
48481,다사417499,0,417,499,False,23850
48482,다사418497,0,418,497,False,23851
48483,다사418421,0,418,421,False,23853
48484,다사419484,1,419,484,False,23854
48485,다사419472,1,419,472,False,23855
48486,다사419462,0,419,462,False,23856
48487,다사419458,0,419,458,False,23857
48488,다사420515,1,420,515,False,23858
48489,다사420490,1,420,490,False,23859
48490,다사420488,1,420,488,False,23860
48491,다사420465,0,420,465,False,23861
48492,다사420459,0,420,459,False,23862
48493,다사420445,0,420,445,False,23863
48494,다사420439,1,420,439,False,23864
48495,다사420424,0,420,424,False,23865
48496,다사420520,1,420,520,False,23866
48497,다사421482,1,421,482,False,23867
48498,다사421481,1,421,481,False,23868
48499,다사421450,1,421,450,False,23869
48500,다사421526,0,421,526,False,23870
48501,다사457538,0,457,538,False,24024
48502,다사458476,1,458,476,False,24026
48503,다사599575,1,599,575,False,23780
48504,다사409484,0,409,484,False,24191
48505,다사412474,0,412,474,False,24179
48506,다사411489,1,411,489,False,24180
48507,다사411495,1,411,495,False,24181
48508,다사411502,0,411,502,False,24182
48509,다사411458,0,411,458,False,24183
48510,다사411479,0,411,479,False,24184
48511,다사410490,0,410,490,False,24185
48512,다사410491,0,410,491,False,24186
48513,다사410494,0,410,494,False,24187
48514,다사410496,0,410,496,False,24188
48515,다사410436,0,410,436,False,24189
48516,다사410478,0,410,478,False,24190
48517,다사409506,1,409,506,False,24192
48518,다사412438,0,412,438,False,24177
48519,다사409517,0,409,517,False,24193
48520,다사409465,0,409,465,False,24194
48521,다사409467,0,409,467,False,24195
48522,다사408494,0,408,494,False,24196
48523,다사408516,0,408,516,False,24197
48524,다사408526,0,408,526,False,24198
48525,다사407481,0,407,481,False,24199
48526,다사407489,1,407,489,False,24200
48527,다사407494,0,407,494,False,24201
48528,다사407511,0,407,511,False,24202
48529,다사407521,0,407,521,False,24203
48530,다사407472,0,407,472,False,24204
48531,다사412469,0,412,469,False,24178
48532,다사412486,1,412,486,False,24176
48533,다사406492,0,406,492,False,24206
48534,다사474484,1,474,484,False,24161
48535,다사473504,0,473,504,False,24149
48536,다사474455,0,474,455,False,24150
48537,다사474443,0,474,443,False,24151
48538,다사474441,0,474,441,False,24152
48539,다사474432,1,474,432,False,24153
48540,다사474430,0,474,430,False,24154
48541,다사474395,1,474,395,False,24155
48542,다사474378,0,474,378,False,24156
48543,다사474558,1,474,558,False,24157
48544,다사474547,1,474,547,False,24158
48545,다사474525,0,474,525,False,24159
48546,다사474504,1,474,504,False,24160
48547,다사475472,1,475,472,False,24162
48548,다사412480,0,412,480,False,24175
48549,다사475463,0,475,463,False,24163
48550,다사475455,0,475,455,False,24164
48551,다사475451,0,475,451,False,24165
48552,다사475440,0,475,440,False,24166
48553,다사475436,1,475,436,False,24167
48554,다사475422,1,475,422,False,24168
48555,다사475396,1,475,396,False,24169
48556,다사475529,0,475,529,False,24170
48557,다사475485,0,475,485,False,24171
48558,다사475483,0,475,483,False,24172
48559,다사475479,1,475,479,False,24173
48560,다사412479,0,412,479,False,24174
48561,다사406491,0,406,491,False,24205
48562,다사406443,0,406,443,False,24207
48563,다사458468,0,458,468,False,24027
48564,다사549424,0,549,424,False,24253
48565,다사547549,0,547,549,False,24241
48566,다사547483,0,547,483,False,24242
48567,다사548468,0,548,468,False,24243
48568,다사548433,0,548,433,False,24244
48569,다사548426,1,548,426,False,24245
48570,다사548415,0,548,415,False,24246
48571,다사548410,0,548,410,False,24247
48572,다사548408,0,548,408,False,24248
48573,다사548550,0,548,550,False,24249
48574,다사548534,1,548,534,False,24250
48575,다사549439,0,549,439,False,24251
48576,다사549432,0,549,432,False,24252
48577,다사549529,1,549,529,False,24254
48578,다사546513,1,546,513,False,24239
48579,다사549518,0,549,518,False,24256
48580,다사549512,1,549,512,False,24257
48581,다사549489,1,549,489,False,24258
48582,다사549486,1,549,486,False,24259
48583,다사550440,0,550,440,False,24260
48584,다사550431,0,550,431,False,24261
48585,다사550540,1,550,540,False,24262
48586,다사550526,1,550,526,False,24263
48587,다사550522,1,550,522,False,24264
48588,다사550517,0,550,517,False,24265
48589,다사550491,0,550,491,False,24266
48590,다사551444,1,551,444,False,24267
48591,다사547448,1,547,448,False,24240
48592,다사546517,1,546,517,False,24238
48593,다사405495,0,405,495,False,24208
48594,다사544422,1,544,422,False,24222
48595,다사405505,0,405,505,False,24209
48596,다사405510,0,405,510,False,24210
48597,다사405445,0,405,445,False,24211
48598,다사405463,0,405,463,False,24212
48599,다사404503,0,404,503,False,24213
48600,다사404511,0,404,511,False,24214
48601,다사404512,0,404,512,False,24215
48602,다사404427,0,404,427,False,24216
48603,다사543520,1,543,520,False,24217
48604,다사543441,1,543,441,False,24218
48605,다사543438,2,543,438,False,24219
48606,다사544440,1,544,440,False,24221
48607,다사544419,1,544,419,False,24223
48608,다사546526,0,546,526,False,24237
48609,다사544521,1,544,521,False,24224
48610,다사545423,1,545,423,False,24226
48611,다사545420,1,545,420,False,24227
48612,다사545419,1,545,419,False,24228
48613,다사545544,0,545,544,False,24229
48614,다사545527,0,545,527,False,24230
48615,다사546467,0,546,467,False,24231
48616,다사546446,1,546,446,False,24232
48617,다사546438,0,546,438,False,24233
48618,다사546437,0,546,437,False,24234
48619,다사546420,1,546,420,False,24235
48620,다사546554,0,546,554,False,24236
48621,다사473524,0,473,524,False,24148
48622,다사473550,1,473,550,False,24147
48623,다사473377,0,473,377,False,24146
48624,다사464449,0,464,449,False,24070
48625,다사462484,0,462,484,False,24058
48626,다사463460,0,463,460,False,24059
48627,다사463455,0,463,455,False,24060
48628,다사463439,1,463,439,False,24061
48629,다사463438,0,463,438,False,24062
48630,다사463432,1,463,432,False,24063
48631,다사463419,1,463,419,False,24064
48632,다사463414,0,463,414,False,24065
48633,다사463404,0,463,404,False,24066
48634,다사463399,0,463,399,False,24067
48635,다사463483,0,463,483,False,24068
48636,다사464471,1,464,471,False,24069
48637,다사464447,0,464,447,False,24071
48638,다사462414,0,462,414,False,24056
48639,다사464524,0,464,524,False,24072
48640,다사465473,0,465,473,False,24073
48641,다사465472,0,465,472,False,24074
48642,다사465411,0,465,411,False,24075
48643,다사465486,1,465,486,False,24076
48644,다사466462,1,466,462,False,24078
48645,다사466426,1,466,426,False,24079
48646,다사466414,1,466,414,False,24080
48647,다사466408,0,466,408,False,24081
48648,다사466402,0,466,402,False,24082
48649,다사466401,0,466,401,False,24083
48650,다사466492,1,466,492,False,24084
48651,다사462489,1,462,489,False,24057
48652,다사462418,1,462,418,False,24055
48653,다사473403,0,473,403,False,24145
48654,다사460533,0,460,533,False,24040
48655,다사458456,1,458,456,False,24028
48656,다사458432,0,458,432,False,24029
48657,다사458402,0,458,402,False,24030
48658,다사458545,0,458,545,False,24031
48659,다사458536,0,458,536,False,24032
48660,다사459418,1,459,418,False,24033
48661,다사460477,1,460,477,False,24034
48662,다사460474,1,460,474,False,24035
48663,다사460437,0,460,437,False,24036
48664,다사460435,0,460,435,False,24037
48665,다사460434,0,460,434,False,24038
48666,다사460396,0,460,396,False,24039
48667,다사460532,0,460,532,False,24041
