,격자고유구역,NUMPOINTS,x,y,visited,index
28680,다사594581,0,594,581,False,53076
28681,다사617658,0,617,658,False,53077
28682,다사643653,0,643,653,False,53078
28683,다사652485,0,652,485,False,53079
28684,다사607462,0,607,462,False,53080
28685,다사648526,0,648,526,False,53081
28686,다사605559,0,605,559,False,53082
28687,다사639523,0,639,523,False,53083
28688,다사647580,0,647,580,False,53084
28689,다사662576,0,662,576,False,53085
28690,다사502379,0,502,379,False,53086
28691,다사524388,0,524,388,False,53060
28692,다사572406,0,572,406,False,53058
28693,다사529401,0,529,401,False,53030
28694,다사628596,0,628,596,False,53043
28695,다사642435,0,642,435,False,53031
28696,다사613419,0,613,419,False,53032
28697,다사457513,0,457,513,False,53033
28698,다사615469,0,615,469,False,53034
28699,다사638571,0,638,571,False,53035
28700,다사660411,0,660,411,False,53036
28701,다사628589,0,628,589,False,53037
28702,다사496399,0,496,399,False,53038
28703,다사631499,0,631,499,False,53039
28704,다사503486,0,503,486,False,53040
28705,다사520606,0,520,606,False,53041
28706,다사446435,0,446,435,False,53042
28707,다사484521,0,484,521,False,53044
28708,다사523551,0,523,551,False,53057
28709,다사565411,0,565,411,False,53045
28710,다사387513,0,387,513,False,53046
28711,다사569615,0,569,615,False,53047
28712,다사508561,0,508,561,True,53048
28713,다사573418,0,573,418,False,53049
28714,다사420533,0,420,533,False,53050
28715,다사712495,0,712,495,False,53051
28716,다사666474,0,666,474,False,53052
28717,다사592499,0,592,499,False,53053
28718,다사405439,0,405,439,False,53054
28719,다사520534,0,520,534,False,53055
28720,다사675469,0,675,469,False,53056
28721,다사652596,0,652,596,False,53207
28722,다사538587,0,538,587,False,53209
28723,다사481600,0,481,600,False,53447
28724,다사645441,0,645,441,False,53373
28725,다사581643,0,581,643,False,53361
28726,다사589491,0,589,491,False,53362
28727,다사583492,0,583,492,False,53363
28728,다사578644,0,578,644,False,53364
28729,다사623412,0,623,412,False,53365
28730,다사519396,0,519,396,False,53366
28731,다사490488,0,490,488,False,53367
28732,다사628607,0,628,607,False,53368
28733,다사681463,0,681,463,False,53369
